cod_dane,snapshot_date,cod_establecimiento,nombre_establecimiento,nombre_sede,sede_principal,sector,correo_institucional,direccion,telefono,niveles,zona,cod_dep,nom_dep,cod_mun,nom_mun,cat_mun,mun_pdet,mun_zomac,nom_reg,cod_etc,nom_etc,total_matricula,matricula_prel,estado_fisico,confianza_geo,lat,lon,ausente_desde,first_seen
117001000629,2026-08-29,117001003822,INSTITUCIÓN EDUCATIVA ESCUELA NACIONAL AUXILIARES DE ENFERMERIA,INSTITUCIÓN EDUCATIVA ESCUELA NACIONAL AUXILIARES DE ENFERMERIA SEDE A,N,OFICIAL,IEENAE@SEMMANIZALES.EDU.CO,KR 19 CL 73 ESQ,8864395,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,611.0,611.0,Afectación menor,2 - MEDIA,5.051388999786572,-75.47972200037866,\N,2026-08-29T08:58:22Z
117001000653,2026-08-29,117001000653,INSTITUCIÓN EDUCATIVA ATANASIO GIRARDOT,INSTITUCIÓN EDUCATIVA ATANASIO GIRARDOT,N,OFICIAL,IEATANASIOGIRARDOT@SEMMANIZALES.EDU.CO,CALLE 67 NO 30C-33,8875772,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,238.0,238.0,Afectación menor,2 - MEDIA,5.052327710416537,-75.49488341001117,\N,2026-08-29T08:58:22Z
117001000742,2026-08-29,117001004438,INSTITUCIÓN EDUCATIVA SAN JUAN BAUTISTA DE LA SALLE,INSTITUCIÓN EDUCATIVA SAN JUAN BAUTISTA DE LA SALLE SEDE A,N,OFICIAL,IELASALLE@SEMMANIZALES.EDU.CO,CL 49 9 D 03,8764330,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,488.0,488.0,Sin afectación,2 - MEDIA,5.072655024372735,-75.49251602225075,\N,2026-08-29T08:58:22Z
117001000947,2026-08-29,117001002737,INSTITUCIÓN EDUCATIVA LA ASUNCION,INSTITUCIÓN EDUCATIVA LA ASUNCION SEDE A,N,OFICIAL,COLASUNCION@EPM.NET.CO,KR 16 A 51 C 09,8854235,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,153.0,153.0,Afectación menor,2 - MEDIA,5.067778000333915,-75.49444399998826,\N,2026-08-29T08:58:22Z
117001000998,2026-08-29,117001000998,INSTITUCIÓN EDUCATIVA LEONARDO DA VINCI,INSTITUCIÓN EDUCATIVA LEONARDO DA VINCI,S,OFICIAL,IELEONARDODAVINCI@SEMMANIZALES.EDU.CO,CALLE 47 NO 35C-35,8882300,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,519.0,519.0,Colapso parcial,2 - MEDIA,5.059722000391588,-75.50861099975408,\N,2026-08-29T08:58:22Z
117001001030,2026-08-29,117001000611,INSTITUCIÓN EDUCATIVA INSTITUTO LATINOAMERICANO,INSTITUCION EDUCATIVA INSTITUTO LATINOAMERICANO SEDE B,N,OFICIAL,IELATINOAMERICANO@SEMMANIZALES.EDU.CO,CL 47 KR 30,8851665,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,116.0,116.0,Afectación parcial,2 - MEDIA,5.061111000272975,-75.50416699990755,\N,2026-08-29T08:58:22Z
117001001072,2026-08-29,117001000033,INSTITUCIÓN EDUCATIVA SIETE DE AGOSTO,INSTITUCION EDUCATIVA SIETE DE AGOSTO SEDE A,N,OFICIAL,IESIETEDEAGOSTO@SEMMANIZALES.EDU.CO,CALLE 19 CARRERA 31 ESQ,8832839,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,169.0,169.0,Afectación menor,2 - MEDIA,5.061943999863356,-75.51944400025927,\N,2026-08-29T08:58:22Z
117001001251,2026-08-29,117001001251,INSTITUCIÓN EDUCATIVA COLEGIO SAN JORGE,INSTITUCIÓN EDUCATIVA COLEGIO SAN JORGE,N,OFICIAL,IESANJORGE@SEMMANIZALES.EDU.CO,KR 21 49 30,8854181,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,1087.0,1087.0,Sin afectación,2 - MEDIA,5.065556000329506,-75.4972219995802,\N,2026-08-29T08:58:22Z
117001001323,2026-08-29,117001000611,INSTITUCIÓN EDUCATIVA INSTITUTO LATINOAMERICANO,INSTITUCION EDUCATIVA INSTITUTO LATINOAMERICANO SEDE A,N,OFICIAL,CJASILVA@EPM.NET.CO,KR 28 43 02,8884274,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,233.0,233.0,Afectación menor,2 - MEDIA,5.062499999856624,-75.50527800031834,\N,2026-08-29T08:58:22Z
117001001340,2026-08-29,117001005965,INSTITUCIÓN EDUCATIVA INSTITUTO PABLO VI,INSTITUCION EDUCATIVA INSTITUTO PABLO VI SEDE C,N,OFICIAL,IEPABLOVI@SEMMANIZALES.EDU.CO,CL 11 32 31,8739611,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,102.0,102.0,Afectación menor,2 - MEDIA,5.0616670000874695,-75.52416699976503,\N,2026-08-29T08:58:22Z
117001001536,2026-08-29,117001001536,INSTITUCIÓN EDUCATIVA INSTITUTO UNIVERSITARIO DE CALDAS,INSTITUCIÓN EDUCATIVA INSTITUTO UNIVERSITARIO DE CALDAS,S,OFICIAL,IUCALDAS1@EPM.NET.CO,CARRERA 23 NO 35-36,8846251,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,1481.0,1481.0,Colapso parcial,2 - MEDIA,5.0674570001715695,-75.50861699960187,\N,2026-08-29T08:58:22Z
117001001544,2026-08-29,117001001544,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR DE CALDAS,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR DE CALDAS,S,OFICIAL,IENORMALDECALDAS@SEMMANIZALES.EDU.CO,KR 23 48 98,8863915,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,1359.0,1359.0,Afectación menor,2 - MEDIA,5.06409423967451,-75.49932115039678,\N,2026-08-29T08:58:22Z
117001001609,2026-08-29,117001001609,INSTITUCIÓN EDUCATIVA COLEGIO ANDRES BELLO,INSTITUCIÓN EDUCATIVA COLEGIO ANDRES BELLO,N,OFICIAL,IEANDRESBELLO@SEMMANIZALES.EDU.CO,CL 28 32 03,8833893,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,702.0,549.0,Colapso parcial,2 - MEDIA,5.0616670000874695,-75.51333300033325,\N,2026-08-29T08:58:22Z
117001001625,2026-08-29,117001000572,INSTITUCIÓN EDUCATIVA GRAN COLOMBIA,INSTITUCIÓN EDUCATIVA GRAN COLOMBIA SEDE A,N,OFICIAL,IEGRANCOLOMBIA@SEMMANIZALES.EDU.CO,CALLE 25 NO 27-70,8823630,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,146.0,146.0,Afectación menor,2 - MEDIA,5.064515928912323,-75.51561592220246,\N,2026-08-29T08:58:22Z
117001001668,2026-08-29,117001002303,INSTITUCIÓN EDUCATIVA MARISCAL SUCRE,INSTITUCIÓN EDUCATIVA MARISCAL SUCRE SEDE D,N,OFICIAL,IEMARISCALSUCRE@SEMMANIZALES.EDU.CO,CL 63 13 30,8750994,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,194.0,194.0,Sin afectación,2 - MEDIA,5.061943999863356,-75.47944399964601,\N,2026-08-29T08:58:22Z
117001001714,2026-08-29,117001002567,INSTITUCIÓN EDUCATIVA MALABAR,INSTITUCIÓN EDUCATIVA MALABAR SEDE A,N,OFICIAL,IEMALABAR@SEMMANIZALES.EDU.CO,CARRERA 40 NO 67C-02,8784137,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,385.0,305.0,Afectación parcial,2 - MEDIA,5.046944000021495,-75.5019440001594,\N,2026-08-29T08:58:22Z
117001001731,2026-08-29,117001001544,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR DE CALDAS,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR DE CALDAS SEDE A,N,OFICIAL,IENORMALDECALDAS@SEMMANIZALES.EDU.CO,CL 50 26 50,8851055,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,878.0,878.0,Afectación menor,2 - MEDIA,5.0616670000874695,-75.49916700039235,\N,2026-08-29T08:58:22Z
117001001765,2026-08-29,117001001765,INSTITUCIÓN EDUCATIVA LICEO ISABEL LA CATOLICA,INSTITUCIÓN EDUCATIVA LICEO ISABEL LA CATOLICA,S,OFICIAL,LICEOISABEL@EPM.NET.CO,KR 22 32 21,8800466,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,424.0,424.0,Colapso parcial,2 - MEDIA,5.068055999671042,-75.51111100041,\N,2026-08-29T08:58:22Z
117001001773,2026-08-29,117001000157,INSTITUCIÓN EDUCATIVA INSTITUTO CHIPRE,INSTITUCIÓN EDUCATIVA INSTITUTO CHIPRE SEDE A,N,OFICIAL,IECHIPRE@SEMMANIZALES.EDU.CO,CL 12 5 36,8832863,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,211.0,211.0,Afectación menor,2 - MEDIA,5.080278000387144,-75.52444399977448,\N,2026-08-29T08:58:22Z
117001001790,2026-08-29,117001002303,INSTITUCIÓN EDUCATIVA MARISCAL SUCRE,INSTITUCIÓN EDUCATIVA MARISCAL SUCRE SEDE C,N,OFICIAL,IEMARISCALSUCRE@SEMMANIZALES.EDU.CO,CL 62 11 B 45,8750726,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,285.0,285.0,Sin afectación,2 - MEDIA,5.064167000151564,-75.47666699987894,\N,2026-08-29T08:58:22Z
117001001919,2026-08-29,117001001919,INSTITUCIÓN EDUCATIVA INSTITUTO MANIZALES,INSTITUCIÓN EDUCATIVA INSTITUTO MANIZALES,N,OFICIAL,IEINSTITUTOMANIZALES@SEMMANIZALES.EDU.CO,CL 28 16 27,8845920,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,1042.0,966.0,Afectación parcial,2 - MEDIA,5.071438884149574,-75.51365103628319,\N,2026-08-29T08:58:22Z
117001002087,2026-08-29,117001002087,INSTITUCIÓN EDUCATIVA COLEGIO PERPETUO SOCORRO,INSTITUCIÓN EDUCATIVA COLEGIO PERPETUO SOCORRO,S,OFICIAL,IEPERPETUOSOCORRO@SEMMANIZALES.EDU.CO,CL 30 A 30 48,8823886,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,387.0,387.0,Afectación menor,2 - MEDIA,5.062297999824223,-75.51182799973718,\N,2026-08-29T08:58:22Z
117001002095,2026-08-29,117001005132,INSTITUCIÓN EDUCATIVA SANTO DOMINGO SAVIO,INSTITUCIÓN EDUCATIVA SANTO DOMINGO SAVIO SEDE A,N,OFICIAL,IEEUGENIOPACELLI@SEMMANIZALES.EDU.CO,CL 55 KR 39 B,8882872,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,82.0,65.0,Afectación menor,2 - MEDIA,5.0533329999392915,-75.50472199975134,\N,2026-08-29T08:58:22Z
117001002176,2026-08-29,117001002176,INSTITUCIÓN EDUCATIVA SAN PIO X,INSTITUCIÓN EDUCATIVA SAN PIO X,S,OFICIAL,IESANPIOX@SEMMANIZALES.EDU.CO,CALLE 105 NO 34-21,8749303,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,377.0,377.0,Afectación menor,2 - MEDIA,5.030556000443321,-75.4594439997885,\N,2026-08-29T08:58:26Z
117001002257,2026-08-29,117001002257,INSTITUCIÓN EDUCATIVA LICEO LEON DE GREIFF,INSTITUCIÓN EDUCATIVA LICEO LEON DE GREIFF,N,OFICIAL,IELEONDEGREIFF@SEMMANIZALES.EDU.CO,KR 24 16 02,8832392,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,1029.0,866.0,Colapso parcial,2 - MEDIA,5.066076806285963,-75.52113037430448,\N,2026-08-29T08:58:22Z
117001002265,2026-08-29,117001005841,INSTITUCIÓN EDUCATIVA VILLA DEL PILAR,INSTITUCIÓN EDUCATIVA VILLA DEL PILAR SEDE A,N,OFICIAL,IEVILLADELPILAR@SEMMANIZALES.EDU.CO,KR 15 14 59,8827412,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,181.0,181.0,Afectación menor,2 - MEDIA,5.0724120001672315,-75.51929699994618,\N,2026-08-29T08:58:22Z
117001002303,2026-08-29,117001002303,INSTITUCIÓN EDUCATIVA MARISCAL SUCRE,INSTITUCIÓN EDUCATIVA MARISCAL SUCRE,S,OFICIAL,IEMARISCALSUCRE@SEMMANIZALES.EDU.CO,KR 16 63 15,8751025,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,178.0,178.0,Afectación menor,3 - BAJA,\N,\N,\N,2026-08-29T08:58:22Z
117001002346,2026-08-29,117001002346,INSTITUCIÓN EDUCATIVA INEM BALDOMERO SANIN CANO,INSTITUCIÓN EDUCATIVA INEM BALDOMERO SANIN CANO,S,OFICIAL,IEINEM@SEMMANIZALES.EDU.CO,CL 56 55 B 150,8851304,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,425.0,392.0,Afectación menor,2 - MEDIA,5.067499999982357,-75.49000000014173,\N,2026-08-29T08:58:22Z
117001002567,2026-08-29,117001002567,INSTITUCIÓN EDUCATIVA MALABAR,INSTITUCIÓN EDUCATIVA MALABAR,S,OFICIAL,IEMALABAR@SEMMANIZALES.EDU.CO,CL 67 E 40 D 09,8784088,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,408.0,408.0,Afectación menor,2 - MEDIA,5.046667000095562,-75.50166700014996,\N,2026-08-29T08:58:26Z
117001002702,2026-08-29,117001002567,INSTITUCIÓN EDUCATIVA MALABAR,INSTITUCIÓN EDUCATIVA MALABAR SEDE B,N,OFICIAL,IEMALABAR@SEMMANIZALES.EDU.CO,CALLE 67 CARRERA 42,8784669,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,167.0,167.0,Afectación menor,2 - MEDIA,5.046388999627799,-75.504443999917,\N,2026-08-29T08:58:22Z
117001002729,2026-08-29,117001002729,INSTITUCIÓN EDUCATIVA MALTERIA,INSTITUCIÓN EDUCATIVA MALTERIA,S,OFICIAL,IEMALTERIA@SEMMANIZALES.EDU.CO,IND KILOMETRO 13 VIA AL MAGDALENA,8742041,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,207.0,207.0,Afectación menor,2 - MEDIA,5.036241511384582,-75.43178364060022,\N,2026-08-29T08:58:22Z
117001002737,2026-08-29,117001002737,INSTITUCIÓN EDUCATIVA LA ASUNCION,INSTITUCIÓN EDUCATIVA LA ASUNCION,S,OFICIAL,COLAASUNCION@MULTINET.COM.CO,KR 19 A 52 25,8813190,"MEDIA,BÁSICA SECUNDARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,344.0,344.0,Colapso parcial,2 - MEDIA,5.065833000229015,-75.49444399998826,\N,2026-08-29T08:58:22Z
117001003181,2026-08-29,117001002176,INSTITUCIÓN EDUCATIVA SAN PIO X,INSTITUCÍÓN EDUCATIVA SAN PIO X SEDE B,N,OFICIAL,IESANPIOX@SEMMANIZALES.EDU.CO,CALLE 100 NO 36A-10,8745874,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,152.0,152.0,Sin afectación,2 - MEDIA,5.030556000443321,-75.46527799970508,\N,2026-08-29T08:58:22Z
117001003776,2026-08-29,117001002176,INSTITUCIÓN EDUCATIVA SAN PIO X,INSTITUCIÓN EDUCATIVA SAN PIO X SEDE C,N,OFICIAL,IESANPIOX@SEMMANIZALES.EDU.CO,CARRERA 32 A NO 104A-45,8745822,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,176.0,176.0,Sin afectación,2 - MEDIA,5.0319587933820875,-75.45952580217491,\N,2026-08-29T08:58:22Z
